UPC,Original Description,Expanded Description
096316671430,"BULB DAY BL INC 100W BOX","Bulb DAY Blue Incandescent 100W BOX"
097612401035,"FOOD GRMT BRD DRGN 8.25Z","FOOD Gourmet BRD DRGN 8.25Z"
097612403084,"FOOD CRSTD GECKO TRPCL 2OZ","FOOD CRSTD GECKO Tropical 2OZ"
097612403091,"FOOD CRSTD GECKO TRPCL 4OZ","FOOD CRSTD GECKO Tropical 4OZ"
097612622119,"FEEDING TONGS SS ANGLED","FEEDING TONGS SS ANGLED"
097612920505,"ZML BOWL REPTIROCK WTR XL","Zoo Med BOWL REPTIROCK Water Extra Large"
066380004182,"BEDNG CF NAT WH 10L","Bedding CF Natural White 10L"
066380004342,"BEDNG CF COLRS BL 23L","Bedding CF COLRS Blue 23L"
720101352043,"FOOD GPIG & MORE 4#","FOOD Guinea Pig & MORE 4#"
744845110028,"BEDNG PURE CMFT 36L","Bedding PURE CMFT 36L"
744845111025,"BEDNG PURE CMFT 72L","Bedding PURE CMFT 72L"
744845402451,"FOOD ESSNTL YOUNG RBBT5#","FOOD ESSNTL YOUNG RBBT5#"
744845402550,"FOOD ESSNTL YOUNG RBBT 10#","FOOD ESSNTL YOUNG Rabbit 10#"
744845402895,"FOOD ESSNTL ADLT RBBT 10#","FOOD ESSNTL Adult Rabbit 10#"
744845402901,"FOOD ESSNTL ADLT GPIG 5#","FOOD ESSNTL Adult Guinea Pig 5#"
744845402963,"TRT ORC GRSS 40OZ","Treat ORC GRSS 40OZ"
744845965291,"TOY CLBRTN CUPCAKE","Toy CLBRTN CUPCAKE"
744845966731,"TOY WLL PLY CB","Toy WLL PLY CB"
744845966847,"TOY TMTHY WAFFLE","Toy TMTHY WAFFLE"
744845969831,"TRT WESTRN TMTHY/ORC 15Z","Treat WESTRN TMTHY/ORC 15Z"
071859944821,"TRT TMTHY BAKED APL 4OZ","Treat TMTHY BAKED APL 4OZ"
045125604047,"PTS HIDEOUT IGLOO MINI","Pet HIDEOUT IGLOO Mini"
045125604061,"PTS HIDEOUT IGLOO REG","Pet HIDEOUT IGLOO Regular"
045125604207,"TOY CHIN-CHILLER","Toy CHIN-CHILLER"
045125604320,"TOY TREE OF LIFE 3IN1 LG","Toy TREE OF LIFE 3IN1 Large"
045125605259,"KAY CRITTERTRAIL TWO LEVEL","Kaytee CRITTERTRAIL TWO LEVEL"
045125613544,"PTS BALL RUN ABOUT MINI CLR 5","Pet Ball RUN ABOUT Mini Clear 5"
045125613780,"PTS BALL RUN ABOUT GNT RNBW","Pet Ball RUN ABOUT Giant RNBW"
045125619126,"PTS FDR HAY MANGER W/SALT","Pet Feeder HAY MANGER W/SALT"
045125619836,"BTTL CHEW PROOF LG 26OZ","Bottle CHEW PROOF Large 26OZ"
660204032124,"PJS TIE DYE YL SM","PJS TIE DYE YL Small"
785184120088,"DRY W/G SKY 4#","Dry Food Whole Grain SKY 4#"
785184120125,"DRY G/F LAND 22#","Dry Food Grain Free Land 22#"
785184120149,"DRY G/F OCN 22#","Dry Food Grain Free OCN 22#"
785184120163,"DRY W/G SKY 22#","Dry Food Whole Grain SKY 22#"
785184120170,"DRY W/G OCN 22#","Dry Food Whole Grain OCN 22#"
785184125007,"DRY G/F PUP 22#","Dry Food Grain Free Puppy 22#"
785184125069,"DRY W/G PUP 4#","Dry Food Whole Grain Puppy 4#"
785184125076,"DRY W/G PUP 22#","Dry Food Whole Grain Puppy 22#"
